# automake-rs BATTLE-TEST CORPUS -- 1000 popular GitHub projects on which the original GNU
# automake 1.18.1 successfully GENERATES the Makefile.in (autoreconf/automake -> Makefile.in).
# This is the differential basis for automake-rs: reproduce this generation. Validated in a
# dependency-provisioned Ubuntu VM (bootstrap via ./autogen.sh/./bootstrap/autoreconf, automake
# 1.18.1 & 1.16.5). Star-ranked from a 5070-repo candidate pool. 2026-06-25.
# Of these, 191 also full-make to completion (see automake-validated-build.tsv); deps in
# automake-corpus-deps.txt. Columns: repo<TAB>stars<TAB>sizeKB<TAB>primaryLanguage
allinurl/goaccess	20663	9147	C
cockpit-project/cockpit	14398	266765	JavaScript
google/ios-webkit-debug-proxy	6177	688	C
emcrisostomo/fswatch	5558	16373	C++
canonical/dqlite	4339	4756	C
bdwgc/bdwgc	3490	29823	C
BOINC/boinc	2423	287947	C++
codebutler/firesheep	2349	6385	C++
hackerschoice/gsocket	1902	1796	C
cgdb/cgdb	1829	8236	C
acaudwell/Logstalgia	1803	4156	C++
enki/libev	1782	609	Shell
hightman/xunsearch	1686	6041	PHP
csmith-project/creduce	1659	5690	C++
firehol/firehol	1596	5362	Shell
hyperic/sigar	1548	30424	C
cpputest/cpputest	1474	12122	C++
hgneng/ekho	1208	164057	Lex
excamera/alfalfa	1203	2330	C++
dillo-browser/dillo	1162	86060	C++
csete/gpredict	1145	15698	C
DeNA/HandlerSocket-Plugin-for-MySQL	1134	1377	C++
cosmos72/twin	1046	10219	C
aspiers/stow	1040	1256	Perl
coin-or/Cbc	999	188748	C++
arkq/bluez-alsa	972	3986	C
HewlettPackard/netperf	969	17117	C
etr/libhttpserver	943	6683	C++
fizx/parsley	906	7373	Shell
google/certificate-transparency	887	27912	C++
groonga/groonga	853	110685	C
hexagonal-sun/bic	844	1015	C
finit-project/finit	816	7897	C
allinurl/gwsocket	813	282	C
aizvorski/h264bitstream	807	596	C
alexandervdm/gummi	797	14037	C
chenall/grub4dos	732	10430	C
balde/balde	726	1037	C
Drive-Trust-Alliance/sedutil	686	189448	C++
alobbs/macchanger	683	933	TeX
accellera-official/systemc	671	82742	C++
guardianproject/libsqlfs	642	625	C
coova/coova-chilli	600	3711	C
cminyard/ser2net	598	2050	C
chokkan/liblbfgs	597	160	C
cruppstahl/upscaledb	573	34919	C++
chaos/pdsh	558	2479	C
FrodeSolheim/fs-uae	552	99499	C++
