# automake-rs battle-test corpus: 1000 most-popular small (<=20MB) GitHub projects that use automake.
# Ranked by GitHub stars. Columns: repo<TAB>stars<TAB>sizeKB<TAB>primaryLanguage
# Gathered 2026-06-24 via GitHub code search + GraphQL star/size ranking.
irungentoo/toxcore	8751	10353	C
karlstav/cava	6224	4907	C
google/ios-webkit-debug-proxy	6177	688	C
emcrisostomo/fswatch	5558	16373	C++
jpmens/jo	4867	309	C
johang/btfs	3948	170	C++
rsnapshot/rsnapshot	3640	2275	Perl
sustrik/libmill	3167	17499	C
FFTW/fftw3	3079	11782	C
p-gen/smenu	2487	8549	C
codebutler/firesheep	2349	6385	C++
Meituan-Dianping/DBProxy	2272	16076	C
RichiH/vcsh	2267	1044	Shell
statsite/statsite	1820	3323	C
acaudwell/Logstalgia	1803	4156	C++
hightman/xunsearch	1686	6041	PHP
hightman/scws	1681	7248	PHP
csmith-project/creduce	1659	5690	C++
mrtazz/restclient-cpp	1612	4422	C++
USBGuard/usbguard	1346	4081	C++
royhills/arp-scan	1268	4378	C
nmap/ncrack	1214	15670	C
spotify/sparkey	1208	170	C
osxfuse/sshfs	1206	357	C
excamera/alfalfa	1203	2330	C++
csete/gpredict	1145	15698	C
DeNA/HandlerSocket-Plugin-for-MySQL	1134	1377	C++
samhocevar/rinetd	1094	488	C
traildb/traildb	1090	1517	C
aspiers/stow	1040	1256	Perl
RangeNetworks/openbts	1007	5775	C++
zeromq/zyre	946	5659	C
etr/libhttpserver	943	6683	C++
realgud/realgud	931	3386	Emacs Lisp
rootless-containers/slirp4netns	919	1055	C
fizx/parsley	906	7373	Shell
tihmstar/futurerestore	895	192	C++
alexandervdm/gummi	797	14037	C
jart/hiptext	790	2334	C++
jessek/hashdeep	782	7598	C++
balde/balde	726	1037	C
Mellanox/sockperf	716	1578	C++
autotrace/autotrace	710	8756	C
Mange/rofi-emoji	709	1079	C
Mellanox/libvma	684	13787	C++
hroptatyr/dateutils	659	6799	C
resurrecting-open-source-projects/scrot	592	880	C
quarkslab/binbloom	581	175	C
moxie0/sslsniff	571	609	C++
mummer4/mummer	564	18598	C++
vcftools/vcftools	559	931	C++
chaos/pdsh	558	2479	C
gdnsd/gdnsd	544	7330	C
flonatel/pipexec	525	675	C
vlang/doom	510	3027	C
lionsoul2014/friso	510	3220	C
tony2001/pinba_engine	481	4366	C++
dfu-programmer/dfu-programmer	471	991	C
troglobit/redir	468	240	C
rescrv/HyperLevelDB	466	1223	C++
rerun/rerun	463	1483	Shell
marbl/Mash	445	4668	C++
sagb/alttab	438	3831	C
sebastianbiallas/pearpc	435	3432	C++
wkz/ply	434	1476	C
sebastianbiallas/ht	429	3059	C++
royhills/ike-scan	418	3213	C
pengutronix/genimage	415	696	C
rolandriegel/nload	409	527	C++
chaos/diod	404	6991	C
skoobe/riofs	398	1112	C
DataSoft/Honeyd	394	5723	C
google/hiba	388	151	C
dcreager/libcork	383	1584	C
grobian/carbon-c-relay	377	4289	C
lighttpd/weighttp	363	262	C
WyvernTKC/cpuminer-gr-avx2	362	6992	C
vasi/squashfuse	348	969	C
opencollab/arpack-ng	347	2698	Fortran
jeremyhahn/ecutools	344	17549	C
NVIDIA/egl-wayland	330	472	C
