# automake-rs battle-test corpus -- projects VERIFIED to build on the original GNU automake 1.18.1
# (autoreconf -fi  +  ./configure  +  make) succeeded in a provisioned Ubuntu VM. 2026-06-24.
# source=github: most-popular small (<=20MB) GitHub automake repos (col: repo stars sizeKB lang).
# source=gnu: GNU release packages (col: pkg tarball).
#source	name	meta1	meta2	meta3
github	emcrisostomo/fswatch	5558	16373	C++
github	rsnapshot/rsnapshot	3640	2275	Perl
github	sustrik/libmill	3167	17499	C
github	p-gen/smenu	2487	8549	C
github	mrtazz/restclient-cpp	1612	4422	C++
github	samhocevar/rinetd	1094	488	C
github	aspiers/stow	1040	1256	Perl
github	jessek/hashdeep	782	7598	C++
github	Mellanox/sockperf	716	1578	C++
github	quarkslab/binbloom	581	175	C
github	chaos/pdsh	558	2479	C
github	lionsoul2014/friso	510	3220	C
github	troglobit/redir	468	240	C
github	rescrv/HyperLevelDB	466	1223	C++
github	rerun/rerun	463	1483	Shell
github	wkz/ply	434	1476	C
github	royhills/ike-scan	418	3213	C
github	rolandriegel/nload	409	527	C++
github	grobian/carbon-c-relay	377	4289	C
github	xmikos/setools-android	283	877	C
github	GNUAspell/aspell	277	8839	ReScript
github	AOMediaCodec/oac	265	15170	C
github	rahra/onioncat	256	2436	C
github	UlricE/pen	254	482	C
github	dcjones/hat-trie	252	124	C
github	amadvance/advancecomp	250	1789	C
github	glv2/bruteforce-salted-openssl	237	118	C
github	braice/MuMuDVB	237	7465	C
github	troglobit/pimd	214	3354	C
github	bingmann/flex-bison-cpp-example	191	818	Shell
github	kazu-yamamoto/pgpdump	187	320	C
github	AndyA/psips	174	166	C
github	timothyej/Shortfin	170	1817	C
github	westerndigitalcorporation/libzbc	164	3861	C
github	ahorn/cpp-channel	159	1274	C++
github	circulosmeos/gztool	154	1764	C
github	fredrikwidlund/libreactorng	132	198	C
github	Joungkyun/libchardet	121	1327	C++
github	fontforge/libspiro	112	1026	C
github	dun/conman	112	1988	C
github	troglobit/sysklogd	111	1415	C
github	rjhogan/Adept	111	763	C++
github	seehuhn/moon-buggy	107	480	C
github	slowkoni/rfmix	99	141	C++
github	mikebrady/alac	99	97	C++
github	fredrikwidlund/libdynamic	99	317	C
github	drmingdrmer/lrc-erasure-code	80	1112	C
github	adulau/dcfldd	75	202	C
github	lh3/fermi	74	2042	C
github	nsd20463/pwsafe	69	704	C++
github	andrewshadura/tnat64	69	207	C
github	cslarsen/mickey-scheme	64	1207	C++
github	eriknyquist/librxvm	63	1653	C
github	cmand/yarrp	58	143	C++
github	fumiyas/wcwidth-cjk	56	32	C
github	jmmv/shtk	55	305	Shell
github	bestouff/genext2fs	55	607	C
github	mstorsjo/vo-aacenc	54	918	C
github	matthewnourse/r17	52	8487	C++
github	nh13/pbgzip	50	166	Assembly
github	mjansche/openfst	44	5294	C++
github	shlevy/long-shebang	43	7	C
github	rhdunn/klatt	42	107	C
github	gkobeaga/op-solver	41	274	C
github	elmar/ldap-git-backup	40	129	Perl
github	atinm/poker-eval	39	9652	C
github	Yeraze/ytnef	38	623	Shell
github	libhostile/libhostile	33	93	C
github	eiichiroi/autotools-unittest	32	622	C++
github	ademakov/Oroch	31	384	C++
github	brynet/file	30	1130	C
github	agn453/ZXCC	30	1500	Shell
github	rhymeswithmogul/aprs-weather-submit	29	400	C
github	darrenjs/log2mem	29	113	Makefile
github	cisco/opus	29	8160	C
github	miconda/rtpproxy	28	725	Shell
github	fasseg/crumbs	28	210	Shell
github	ViennaRNA/RNAcode	26	2127	C
github	irrequietus/clause	26	924	C++
github	sahlberg/dbench	25	3391	C
github	libantioch/antioch	25	7383	C++
github	bcoin-org/libtorsion	25	10034	C
github	strongswan/davici	23	79	C
github	liblogdb/liblogdb	23	818	C
github	hermansr/psid64	21	750	C++
github	iczelia/xpar	20	1022	C
github	gentoo/sandbox	19	1983	C
github	solbu/hldig	18	14715	C++
github	chaoran/fibril	18	277	C
github	thess/mfstools	17	513	C
github	Obi-Wan/dwt	17	72	C++
github	bromanbro/taggins	17	252	Shell
github	archiecobbs/logwarn	15	164	C
github	zapping-vbi/zvbi	14	1873	C
github	ResistancePlatform/resistance-miner	14	659	C
github	TALP-UPC/saga	13	477	C
github	open-mpi/ompi-java-test	13	283	Java
github	fblomqvi/librs	13	94	C
github	cybergarage/uecho	13	3388	C
github	vaeth/squash_dir	12	117	Shell
github	GENI-NSF/geni-tools	12	5325	Python
github	xflouris/libpll-2	11	6210	C
github	noqsi/LSE64	11	500	C
github	Malvineous/libgamecommon	11	454	C++
github	bigmc/bigmc	11	3735	Graphviz (DOT)
github	ecerulm/autotools-template	10	284	Shell
github	alaskacommunications/akcom-udpecho	10	1421	C
github	6WIND/quagga	10	11699	C
github	kiall/vyatta-siproxd	9	132	Perl
github	jadedanemone/BBB-eQEP	9	1173	Shell
github	Alpacius/a6	9	142	C
github	posixninja/libchronic	8	591	Shell
github	NIMk/AVRemote	8	304	C
github	wilx/apg	7	610	Shell
github	ongbw/ridc	7	560	Makefile
github	lavv17/nct	7	92	C
github	claesenm/approxsvm	7	732	Shell
github	bytedeco/helloworld	7	468	C
github	ahlstromcj/midicvt	6	15195	AGS Script
github	sowbug/SimpleECDSA	5	216	C
github	NIMk/HDSync	5	915	C
github	frida/xz	5	2596	C
github	sigrokproject/sigrok-firmware	4	741	Makefile
github	kmc-jp/Klang	4	5380	C++
github	blueness/fts-standalone	4	27	C
github	bloomen/libunittest	3	3818	C++
github	Turbo87/libfap	2	712	Shell
github	tailhook/xsnano	2	242	C
github	pombredanne/strace_GSOC2014	2	615	C
gnu	acct	acct-6.6.4.tar.gz
gnu	apl	apl-2.0.tar.gz
gnu	aspell	aspell-0.60.8.2.tar.gz
gnu	autoconf-archive	autoconf-archive-2014.02.28.tar.gz
gnu	autoconf	autoconf-2.73.tar.gz
gnu	bc	bc-1.08.2.tar.gz
gnu	bool	bool-0.2.1.tar.gz
gnu	ccd2cue	ccd2cue-0.5.tar.gz
gnu	cflow	cflow-1.8.tar.gz
gnu	cgicc	cgicc-3.2.20.tar.gz
gnu	cpio	cpio-2.15.tar.gz
gnu	dap	dap-3.10.tar.gz
gnu	dejagnu	dejagnu-1.6.3.tar.gz
gnu	dico	dico-2.12.tar.gz
gnu	direvent	direvent-5.5.tar.gz
gnu	gama	gama-2.33.tar.gz
gnu	gawk	gawk-5.4.0.tar.gz
gnu	gdbm	gdbm-1.26.tar.gz
gnu	gengen	gengen-1.4.2.tar.gz
gnu	glpk	glpk-5.0.tar.gz
gnu	gnudos	gnudos-2.0.tar.gz
gnu	gnuit	gnuit-4.9.5.tar.gz
gnu	gtypist	gtypist-2.10.1.tar.gz
gnu	gzip	gzip-1.14.tar.gz
gnu	indent	indent-2.2.13.tar.gz
gnu	inetutils	inetutils-2.8.tar.gz
gnu	jwhois	jwhois-4.0.tar.gz
gnu	libcdio	libcdio-2.0.0.tar.gz
gnu	libmicrohttpd	libmicrohttpd-1.0.5.tar.gz
gnu	libsigsegv	libsigsegv-2.15.tar.gz
gnu	libunistring	libunistring-1.4.2.tar.gz
gnu	lightning	lightning-2.2.3.tar.gz
gnu	marst	marst-2.8.tar.gz
gnu	mcsim	mcsim-6.2.0.tar.gz
gnu	miscfiles	miscfiles-1.5.tar.gz
gnu	mpc	mpc-1.3.1.tar.gz
gnu	mpfr	mpfr-4.2.2.tar.gz
gnu	patch	patch-2.8.tar.gz
gnu	pies	pies-1.9.tar.gz
gnu	radius	radius-1.7.tar.gz
gnu	recutils	recutils-1.9.tar.gz
gnu	rush	rush-2.4.tar.gz
gnu	tar	tar-1.35.tar.gz
gnu	time	time-1.10.tar.gz
gnu	trueprint	trueprint-5.4.tar.gz
gnu	unrtf	unrtf-0.21.10.tar.gz
gnu	uucp	uucp-1.07.tar.gz
gnu	vc-dwim	vc-dwim-1.5.tar.gz
gnu	wdiff	wdiff-1.2.2.tar.gz
