hackerschoice/gsocket	DIVERGE	830	519	ch=1015
google/ios-webkit-debug-proxy	DIVERGE	809	518	ch=991
cgdb/cgdb	DIVERGE	835	520	ch=1021
canonical/dqlite	DIVERGE	9141	981	ch=9736
bdwgc/bdwgc	DIVERGE	2965	1379	ch=3864
allinurl/goaccess	DIVERGE	1488	675	ch=1761
enki/libev	DIVERGE	909	503	ch=1114
emcrisostomo/fswatch	DIVERGE	1041	640	ch=1327
csmith-project/creduce	DIVERGE	872	520	ch=1052
codebutler/firesheep	DIVERGE	872	538	ch=1042
hightman/xunsearch	DIVERGE	934	576	ch=1086
acaudwell/Logstalgia	DIVERGE	1676	563	ch=1905
firehol/firehol	DIVERGE	896	525	ch=1081
dillo-browser/dillo	DIVERGE	1015	537	ch=1200
cosmos72/twin	DIVERGE	1021	604	ch=1183
DeNA/HandlerSocket-Plugin-for-MySQL	DIVERGE	935	599	ch=1046
cpputest/cpputest	DIVERGE	4257	1269	ch=4782
aspiers/stow	DIVERGE	1765	899	ch=2042
excamera/alfalfa	DIVERGE	819	521	ch=1006
coin-or/Cbc	DIVERGE	809	537	ch=1026
BOINC/boinc	DIVERGE	1165	590	ch=1361
fizx/parsley	DIVERGE	853	629	ch=1076
etr/libhttpserver	DIVERGE	1117	531	ch=1282
HewlettPackard/netperf	DIVERGE	837	520	ch=1023
google/certificate-transparency	DIVERGE	2879	768	ch=3267
arkq/bluez-alsa	DIVERGE	877	525	ch=1058
hexagonal-sun/bic	DIVERGE	818	517	ch=1001
allinurl/gwsocket	DIVERGE	952	510	ch=1136
chenall/grub4dos	DIVERGE	825	520	ch=1009
hyperic/sigar	DIVERGE	835	519	ch=1010
finit-project/finit	DIVERGE	892	537	ch=1061
alexandervdm/gummi	DIVERGE	797	517	ch=980
hgneng/ekho	DIVERGE	1393	599	ch=1636
aizvorski/h264bitstream	DIVERGE	1046	586	ch=1264
csete/gpredict	DIVERGE	881	538	ch=1057
Drive-Trust-Alliance/sedutil	DIVERGE	1163	542	ch=1353
