royhills/arp-scan	OTHER	  CC       error.o
sustrik/libmill	GENERATOR	make[1]: *** No rule to make target 'tests/exampletests/gotests/clstes
mrtazz/restclient-cpp	GENERATOR	make[2]: *** No rule to make target '.libs/librestclient-cpp.a', neede
emcrisostomo/fswatch	COMPILE	libfswatch/c/libfswatch.cpp:526:27: error: expected expression
jessek/hashdeep	COMPILE	gcc: fatal error: no input files
chaos/pdsh	GENERATOR	make[2]: *** No rule to make target 'version.map', needed by 'all'.  S
rolandriegel/nload	DEP_MISSING	app.cpp:24:14: fatal error: config.h: No such file or directory
royhills/ike-scan	OTHER	  CC       error.o
wkz/ply	OTHER	   13 | %define parse.error verbose
grobian/carbon-c-relay	COMPILE	relay.c:357:47: error: expected ')' before 'GIT_VERSION'
dcjones/hat-trie	LINK	collect2: error: ld returned 1 exit status
amadvance/advancecomp	GENERATOR	Makefile:223: *** missing separator.  Stop.
rahra/onioncat	DEP_MISSING	ocat.h:29:10: fatal error: config.h: No such file or directory
glv2/bruteforce-salted-openssl	NOW_OK
braice/MuMuDVB	LINK	/home/dev/catv/braice_MuMuDVB/src/mumudvb.c:486:(.text.startup+0x5b9):
bingmann/flex-bison-cpp-example	GENERATOR	make[2]: *** No rule to make target 'libexampleparser.c', needed by 'l
cowsql/cowsql	OTHER	  CC       test/unit_test-test_error.o
troglobit/pimd	DEP_MISSING	defs.h:42:10: fatal error: config.h: No such file or directory
davidsiaw/luacppinterface	GENERATOR	make[2]: *** No rule to make target 'libluacppinterface.c', needed by 
westerndigitalcorporation/libzbc	LINK	zbc_info.c:(.text.startup+0x103): undefined reference to `zbc_version'
fredrikwidlund/libreactorng	DEP_MISSING	/usr/bin/ld: cannot find libreactor_test.a: No such file or directory
fontforge/libspiro	LINK	collect2: error: ld returned 1 exit status
Joungkyun/libchardet	GENERATOR	Makefile:221: *** missing separator.  Stop.
dun/conman	LINK	/home/dev/catv/dun_conman/src/client-conf.c:305:(.text+0xeb): undefine
ahorn/cpp-channel	GENERATOR	make[1]: *** No rule to make target 'gtest/lib/libgtest.la', needed by
troglobit/sysklogd	DEP_MISSING	socket.c:31:10: fatal error: config.h: No such file or directory
seehuhn/moon-buggy	NOW_OK
mikebrady/alac	NOW_OK
rjhogan/Adept	DEP_MISSING	adept.cpp:37:10: fatal error: config.h: No such file or directory
fredrikwidlund/libdynamic	COMPILE	gcc: error: unrecognized command-line option '-std=gnu23'; did you mea
drmingdrmer/lrc-erasure-code	GENERATOR	Makefile:213: *** missing separator.  Stop.
andrewshadura/tnat64	COMPILE	libtool:   error: only absolute run-paths are allowed
eriknyquist/librxvm	GENERATOR	make[2]: *** No rule to make target 'librxvm.c', needed by 'librxvm.o'
cslarsen/mickey-scheme	COMPILE	libtool:   error: only absolute run-paths are allowed
mstorsjo/vo-aacenc	LINK	/home/dev/catv/mstorsjo_vo-aacenc/aac-enc.c:64:(.text.startup+0xfb): u
mjansche/openfst	LINK	collect2: error: ld returned 1 exit status
gkobeaga/op-solver	NOW_OK
atinm/poker-eval	LINK	/home/dev/catv/atinm_poker-eval/lib/mktab_basic.c:228:(.text.startup+0
Yeraze/ytnef	DEP_MISSING	ytnef.c:31:10: fatal error: config.h: No such file or directory
libhostile/libhostile	NOW_OK
eiichiroi/autotools-unittest	COMPILE	lib/gmock/gmock/gmock.h:335:7: error: redefinition of 'IgnoredValue'
brynet/file	LINK	file.c:(.text+0x258): undefined reference to `xasprintf'
rhymeswithmogul/aprs-weather-submit	NOW_OK
darrenjs/log2mem	DEP_MISSING	log2mem_atomic.h:4:10: fatal error: config.h: No such file or director
ViennaRNA/RNAcode	GENERATOR	make[2]: *** No rule to make target 'libPHYML.c', needed by 'libPHYML.
agn453/ZXCC	GENERATOR	make[3]: *** No rule to make target 'libcpmio.c', needed by 'libcpmio.
irrequietus/clause	GENERATOR	make[1]: *** No rule to make target 'libclause-0.1.la.lo', needed by '
strongswan/davici	GENERATOR	make[2]: *** No rule to make target 'eventunknown.tst.o', needed by 'c
hermansr/psid64	GENERATOR	Makefile:494: *** missing separator.  Stop.
Obi-Wan/dwt	GENERATOR	make[2]: *** No rule to make target 'libdwt.c', needed by 'libdwt.o'. 
chaoran/fibril	DEP_MISSING	debug.h:5:10: fatal error: config.h: No such file or directory
thess/mfstools	GENERATOR	make[2]: *** No rule to make target 'libmfs.c', needed by 'libmfs.o'. 
gentoo/sandbox	GENERATOR	make[1]: *** No rule to make target '%D%/sandbox'.  Stop.
